scenario,nights,guests_per_night,camp_share,supper_ticket_avg,camp_ticket_avg,blended_ticket,supper_cost_per_guest,weighted_breakfast_cost,payment_and_guest_supplies,variable_cost_per_guest,fixed_cost_per_night,preseason_fixed_cost,season_gross_revenue,season_variable_cost,season_fixed_cost,season_profit,margin
Conservative,8,6,0.40,154,254,194.00,24.00,3.20,10.76,37.96,650,3000,9312,1822.08,8200,-710.08,-0.0763
Base,8,8,0.60,154,254,214.00,24.00,4.80,11.56,40.36,650,3000,13696,2583.04,8200,2912.96,0.2127
Sellout,8,10,0.70,154,254,224.00,24.00,5.60,11.96,41.56,650,3000,17920,3324.80,8200,6395.20,0.3569
